opposites,kukabiliana
yes,ndio
no,la
good,zuri
bad,baya
same,sawa
different,tofauti
easy,rahisi
problem,tatizo
right,sawa
wrong,kosa
true,kweli
false,uongo
new,-pya
old,-zee
warm,joto
cold,baridi
dry,kavu
wet,maji maji
heavy,-zito
light,-epesi
dirty,chafu
clean,safi
cheap,rahisi
expensive,ghali
fast,haraka
quick,haraka
slow,pole pole
stupid,pumbavu
clever,-erevu
intelligent,-erevu
mad,wazimu
hungry,njaa
full up,jaza
thirsty,kiu
tired,choka
sad,huzuni
happy,furaha
hearing,kusikia
deaf,kiziwi
humble,nyenyekevu
proud,mwenye majivuno
naughty,mjeuri
polite,mpole
quarrelsome,mgomvi
angry,kukasirika
ashamed,aibika
afraid,ogopa
coward,mwoga
selfish,choyo
sorry,sikitiko
funny, fanya mzaha
funny, mzaha
boring, mchoshi
smelly,kunuka
shy,haya
here,hapa
there,hapo
far away,mbali
nearby,karibu
many,-ingi
few,chache
mindless,kutofikiria
mzungu,mzungu
african,mwafrika
silent,kimya
